Country	CINC
United States of America	157.9394963541667
Canada	11.83025795454546
Bahamas	0.10462285714285713
Cuba	1.9581269230769232
Haiti	0.4646122137404582
Dominican Republic	0.47167757009345795
Jamaica	0.1636195652173913
Trinidad and Tobago	0.4852369565217391
Barbados	0.018095238095238088
Dominica	0.002457666666666667
Grenada	0.004472058823529411
St. Lucia	0.004581724137931034
St. Vincent and the Grenadines	0.0035979310344827578
Antigua & Barbuda	0.0033751851851851855
St. Kitts and Nevis	0.0017803999999999997
Mexico	7.8744079096045185
Belize	0.01701111111111111
Guatemala	0.5403457142857142
Honduras	0.261748623853211
El Salvador	0.36213834586466154
Nicaragua	0.2683259259259259
Costa Rica	0.15141818181818184
Panama	0.18803977272727262
Colombia	2.2835971751412423
Venezuela	2.2897814371257486
Guyana	0.06607142857142857
Suriname	0.06045151515151514
Ecuador	0.7004201298701298
Peru	1.9406366863905324
Brazil	12.884357142857146
Bolivia	0.6796168750000003
Paraguay	0.3950891719745222
Chile	2.321506508875739
Argentina	5.175988023952095
Uruguay	0.855363492063492
United Kingdom	153.4049359374999
Ireland	0.8620616279069766
Netherlands	10.568119148936175
Belgium	14.504933333333327
Luxembourg	1.9415141176470583
France	75.61952198952878
Monaco	0.003530666666666666
Liechtenstein	0.0018227777777777778
Switzerland	1.8430270833333329
Spain	18.248560937499985
Andorra	0.0024059999999999997
Portugal	4.777034895833334
Hanover	3.2228862068965514
Bavaria	7.4848589285714295
Germany	83.80589594594595
German Federal Republic	34.00570833333333
German Democratic Republic	9.308340540540538
Baden	2.175199999999999
Saxony	4.074838461538462
Wuerttemburg	2.3719875
Hesse Electoral	1.496692156862745
Hesse Grand Ducal	1.7181999999999997
Mecklenburg Schwerin	0.6665000000000001
Poland	15.240665882352936
Austria-Hungary	61.449258252427185
Austria	3.6474232876712334
Hungary	3.963542222222222
Czechoslovakia	10.62074
Czech Republic	3.0330666666666675
Slovakia	1.7017666666666666
Italy	23.694951041666673
Papal States	7.308057777777778
Two Sicilies	24.30546739130435
San Marino	0.0029068749999999997
Modena	0.6910421052631579
Parma	0.68264
Tuscany	2.483928888888889
Malta	0.03279090909090909
Albania	0.48932333333333355
Montenegro	0.0908
Macedonia	0.28425999999999996
Croatia	0.9002125000000001
Yugoslavia	3.9857078124999994
Bosnia and Herzegovina	0.6142375
Slovenia	0.35964999999999997
Greece	2.577766853932584
Cyprus	0.17715833333333325
Bulgaria	2.8142200000000006
Moldova	0.4791294117647059
Romania	6.307878461538461
Russia	127.29044270833332
Estonia	0.5679299999999998
Latvia	0.959245
Lithuania	0.9115324999999999
Ukraine	15.841864705882353
Belarus	2.656752941176471
Armenia	0.6481588235294117
Georgia	0.5602411764705885
Azerbaijan	1.2572058823529415
Finland	1.804627472527473
Sweden	8.462291145833332
Norway	1.6335848484848483
Denmark	3.131532978723405
Iceland	0.027071874999999995
Cape Verde	0.028251515151515156
Sao Tome and Principe	0.00988272727272727
Guinea-Bissau	0.11164117647058824
Equatorial Guinea	0.054790000000000005
Gambia	0.03532558139534884
Mali	0.4288229166666667
Senegal	0.5595854166666666
Benin	0.2738875000000001
Mauritania	0.17773958333333334
Niger	0.3278416666666667
Ivory Coast	0.7490875
Guinea	0.38004599999999994
Burkina Faso	0.41484583333333336
Liberia	0.14693636363636361
Sierra Leone	0.23974893617021278
Ghana	0.9117745098039216
Togo	0.210075
Cameroon	0.6830083333333337
Nigeria	6.32895625
Gabon	0.13485208333333334
Central African Republic	0.18000625
Chad	0.4004666666666665
Congo	0.2695208333333334
Democratic Republic of the Congo	2.5934625000000007
Uganda	0.9097717391304345
Kenya	1.2308377777777775
Tanzania	1.3714404255319146
Zanzibar	0.017449999999999997
Burundi	0.32617826086956525
Rwanda	0.38168043478260866
Somalia	0.5204000000000001
Djibouti	0.10024516129032258
Ethiopia	3.805033018867926
Eritrea	1.3662666666666665
Angola	1.532660606060606
Mozambique	1.0004545454545455
Zambia	0.6981636363636363
Zimbabwe	0.9596395348837212
Malawi	0.3865454545454546
South Africa	5.696092045454545
Namibia	0.1450611111111111
Lesotho	0.07995238095238096
Botswana	0.10725714285714287
Swaziland	0.04902750000000001
Madagascar	0.6070729166666665
Comoros	0.024424242424242414
Mauritius	0.0745075
Seychelles	0.007156875
Morocco	2.1994025641025643
Algeria	3.766658695652173
Tunisia	1.7495266055045868
Libya	1.2565526315789466
Sudan	1.6439557692307696
Iran	6.2381568627451
Turkey	22.693028645833344
Iraq	4.035696052631578
Egypt	6.905539393939396
Syria	2.7302666666666675
Lebanon	0.5087145161290323
Jordan	0.871051612903226
Israel	2.601136666666666
Saudi Arabia	4.342396296296297
Yemen Arab Republic	0.5865907692307694
Yemen	1.4197388888888889
Yemen People's Republic	0.354125
Kuwait	1.4771680851063829
Bahrain	0.44163783783783783
Qatar	0.5809189189189189
United Arab Emirates	1.5627189189189186
Oman	0.6973459459459461
Afghanistan	1.8386011363636359
Turkmenistan	0.5850294117647058
Tajikistan	0.36891764705882346
Kyrgyzstan	0.3681588235294118
Uzbekistan	2.4286000000000003
Kazakhstan	3.337858823529412
China	130.32473378378376
Mongolia	0.3142310344827585
Taiwan	7.777293220338986
Korea	2.8913999999999995
North Korea	7.783104999999999
South Korea	14.77057457627119
Japan	39.278444366197164
India	55.82427704918032
Bhutan	0.09439999999999998
Pakistan	10.939045901639341
Bangladesh	6.056169444444444
Myanmar	3.6792599999999993
Sri Lanka	1.1589266666666669
Maldives	0.009761395348837206
Nepal	1.0347443181818181
Thailand	3.9940404958677687
Cambodia	1.0944163636363637
Laos	0.5540727272727275
Vietnam	7.395299999999999
Republic of Vietnam	5.667863636363636
Malaysia	2.394864705882353
Singapore	2.2884697674418595
Brunei	0.12884583333333335
Philippines	4.398962903225807
Indonesia	13.08364745762712
East Timor	0.12695
Australia	7.377681818181819
Papua New Guinea	0.20213333333333336
New Zealand	0.7840784090909092
Vanuatu	0.005118888888888889
Solomon Islands	0.011497666666666665
Kiribati	0.0025299999999999997
Tuvalu	0.000260875
Fiji	0.0683842105263158
Tonga	0.0029966666666666666
Nauru	0.0003683333333333333
Marshall Islands	0.0016341176470588234
Palau	0.0006504999999999999
Federated States of Micronesia	0.003488235294117647
Samoa	0.0055299999999999985
